"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO",5101209,NA,0.701,NA,NA
2015,"MUNICIPIO",1702158,NA,0.533,NA,NA
2015,"MUNICIPIO",2100873,NA,0.533,NA,NA
2015,"MUNICIPIO",1702158,NA,0.604,NA,NA
2015,"MUNICIPIO",2100873,NA,0.604,NA,NA
2015,"MUNICIPIO",5202155,NA,0.674,NA,NA
2015,"MUNICIPIO",3103504,NA,0.773,NA,NA
2015,"MUNICIPIO",1702208,NA,0.631,NA,NA
2015,"MUNICIPIO",2100907,NA,0.521,NA,NA
2015,"MUNICIPIO",5001243,NA,0.633,NA,NA
2015,"MUNICIPIO",2902203,NA,0.588,NA,NA
2015,"MUNICIPIO",4300851,NA,0.691,NA,NA
2015,"MUNICIPIO",2100956,NA,0.512,NA,NA
2015,"MUNICIPIO",3503000,NA,0.74,NA,NA
2015,"MUNICIPIO",3503109,NA,0.685,NA,NA
2015,"MUNICIPIO",3103603,NA,0.697,NA,NA
2015,"MUNICIPIO",3503158,NA,0.68,NA,NA
2015,"MUNICIPIO",2700300,NA,0.649,NA,NA
2015,"MUNICIPIO",1702307,NA,0.68,NA,NA
2015,"MUNICIPIO",3103702,NA,0.536,NA,NA
2015,"MUNICIPIO",4101507,NA,0.748,NA,NA
2015,"MUNICIPIO",3103751,NA,0.708,NA,NA
2015,"MUNICIPIO",4101606,NA,0.723,NA,NA
2015,"MUNICIPIO",3103801,NA,0.724,NA,NA
2015,"MUNICIPIO",4101655,NA,0.676,NA,NA
2015,"MUNICIPIO",5101258,NA,0.725,NA,NA
2015,"MUNICIPIO",4201307,NA,0.703,NA,NA
2015,"MUNICIPIO",2500908,NA,0.548,NA,NA
2015,"MUNICIPIO",4201406,NA,0.76,NA,NA
2015,"MUNICIPIO",3503208,NA,0.815,NA,NA
2015,"MUNICIPIO",3503307,NA,0.781,NA,NA
2015,"MUNICIPIO",2301257,NA,0.59,NA,NA
2015,"MUNICIPIO",2101004,NA,0.626,NA,NA
2015,"MUNICIPIO",4300877,NA,0.679,NA,NA
2015,"MUNICIPIO",2301307,NA,0.564,NA,NA
2015,"MUNICIPIO",2601102,NA,0.602,NA,NA
2015,"MUNICIPIO",3300209,NA,0.718,NA,NA
2015,"MUNICIPIO",2501005,NA,0.567,NA,NA
2015,"MUNICIPIO",4101705,NA,0.567,NA,NA
2015,"MUNICIPIO",2501005,NA,0.704,NA,NA
2015,"MUNICIPIO",4101705,NA,0.704,NA,NA
2015,"MUNICIPIO",2902252,NA,0.559,NA,NA
2015,"MUNICIPIO",4300901,NA,0.772,NA,NA
2015,"MUNICIPIO",2301406,NA,0.622,NA,NA
2015,"MUNICIPIO",2902302,NA,0.575,NA,NA
2015,"MUNICIPIO",2800407,NA,0.595,NA,NA
2015,"MUNICIPIO",4101804,NA,0.74,NA,NA
2015,"MUNICIPIO",3103900,NA,0.698,NA,NA
2015,"MUNICIPIO",3104007,NA,0.772,NA,NA
2015,"MUNICIPIO",3104106,NA,0.683,NA,NA
2015,"MUNICIPIO",3503356,NA,0.722,NA,NA
2015,"MUNICIPIO",3104205,NA,0.749,NA,NA
2015,"MUNICIPIO",2601201,NA,0.667,NA,NA
2015,"MUNICIPIO",3104304,NA,0.727,NA,NA
2015,"MUNICIPIO",3300225,NA,0.684,NA,NA
2015,"MUNICIPIO",3503406,NA,0.744,NA,NA
2015,"MUNICIPIO",2501104,NA,0.594,NA,NA
2015,"MUNICIPIO",2401107,NA,0.682,NA,NA
2015,"MUNICIPIO",2800506,NA,0.682,NA,NA
2015,"MUNICIPIO",2401107,NA,0.579,NA,NA
2015,"MUNICIPIO",2800506,NA,0.579,NA,NA
2015,"MUNICIPIO",2501153,NA,0.562,NA,NA
2015,"MUNICIPIO",2501203,NA,0.608,NA,NA
2015,"MUNICIPIO",3503505,NA,0.697,NA,NA
2015,"MUNICIPIO",3503604,NA,0.695,NA,NA
2015,"MUNICIPIO",5101308,NA,0.704,NA,NA
2015,"MUNICIPIO",5202353,NA,0.687,NA,NA
2015,"MUNICIPIO",2401206,NA,0.606,NA,NA
2015,"MUNICIPIO",3104403,NA,0.643,NA,NA
2015,"MUNICIPIO",3104452,NA,0.582,NA,NA
2015,"MUNICIPIO",3104502,NA,0.656,NA,NA
2015,"MUNICIPIO",5101407,NA,0.675,NA,NA
2015,"MUNICIPIO",1100023,NA,0.702,NA,NA
2015,"MUNICIPIO",3503703,NA,0.733,NA,NA
2015,"MUNICIPIO",4101853,NA,0.67,NA,NA
2015,"MUNICIPIO",3300233,NA,0.728,NA,NA
2015,"MUNICIPIO",4201505,NA,0.77,NA,NA
2015,"MUNICIPIO",2301505,NA,0.618,NA,NA
2015,"MUNICIPIO",2200905,NA,0.583,NA,NA
2015,"MUNICIPIO",2501302,NA,0.548,NA,NA
2015,"MUNICIPIO",2200954,NA,0.519,NA,NA
2015,"MUNICIPIO",2201002,NA,0.56,NA,NA
2015,"MUNICIPIO",3300258,NA,0.733,NA,NA
2015,"MUNICIPIO",1702406,NA,0.651,NA,NA
2015,"MUNICIPIO",4301008,NA,0.769,NA,NA
2015,"MUNICIPIO",4301073,NA,0.669,NA,NA
2015,"MUNICIPIO",4301057,NA,0.74,NA,NA
2015,"MUNICIPIO",4301206,NA,0.707,NA,NA
2015,"MUNICIPIO",4301107,NA,0.698,NA,NA
2015,"MUNICIPIO",4301305,NA,0.657,NA,NA
2015,"MUNICIPIO",4201604,NA,0.764,NA,NA
2015,"MUNICIPIO",3503802,NA,0.749,NA,NA
2015,"MUNICIPIO",5202502,NA,0.675,NA,NA
